content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
daftar sopir dan kernet yang pernah bahkan sering bermasalah melanggar terutama ke customer a b sering banget di depan polsek depok timur nomer ab bk jam okt di ngabean okt di queen latifa dl lupa byk banget sering banget,4,0,,2023-11-01 06:08:55,,,"['daftar', 'sopir', 'dan', 'kernet', 'yang', 'pernah', 'bahkan', 'sering', 'bermasalah', 'melanggar', 'terutama', 'ke', 'customer', 'a', 'b', 'sering', 'banget', 'di', 'depan', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'di', 'ngabean', 'okt', 'di', 'queen', 'latifa', 'dl', 'lupa', 'byk', 'banget', 'sering', 'banget']","['daftar', 'sopir', 'kernet', 'bermasalah', 'melanggar', 'customer', 'a', 'b', 'banget', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'ngabean', 'okt', 'queen', 'latifa', 'dl', 'lupa', 'byk', 'banget', 'banget']","['daftar', 'sopir', 'kernet', 'masalah', 'langgar', 'customer', 'a', 'b', 'banget', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'ngabean', 'okt', 'queen', 'latifa', 'dl', 'lupa', 'byk', 'banget', 'banget']",daftar sopir kernet masalah langgar customer a b banget polsek depok timur nomer ab bk jam okt ngabean okt queen latifa dl lupa byk banget banget
sangat berguna,5,0,2.1.7,2023-10-29 11:56:47,,,"['sangat', 'berguna']",['berguna'],['guna'],guna
aplikase bangsat,1,0,2.1.5,2023-10-27 00:08:39,,,"['aplikase', 'bangsat']","['aplikase', 'bangsat']","['aplikase', 'bangsat']",aplikase bangsat
jalur tidak sesuai jadwal sudah kali tidak berangkat menunggu jam an hmmmmm,2,0,,2023-10-21 11:04:59,,,"['jalur', 'tidak', 'sesuai', 'jadwal', 'sudah', 'kali', 'tidak', 'berangkat', 'menunggu', 'jam', 'an', 'hmmmmm']","['jalur', 'sesuai', 'jadwal', 'kali', 'berangkat', 'menunggu', 'jam', 'an', 'hmmmmm']","['jalur', 'sesuai', 'jadwal', 'kali', 'berangkat', 'tunggu', 'jam', 'an', 'hmmmmm']",jalur sesuai jadwal kali berangkat tunggu jam an hmmmmm
bapak kurang ramah saya nanya dicuekin berlagak amat kalau penumpang nanya dijawab jangan malah sibuk sendiri bapak bapak lho gimana sih tata krama tidak ada terminal congcat,1,0,,2023-10-11 00:04:05,,,"['bapak', 'kurang', 'ramah', 'saya', 'nanya', 'dicuekin', 'berlagak', 'amat', 'kalau', 'penumpang', 'nanya', 'dijawab', 'jangan', 'malah', 'sibuk', 'sendiri', 'bapak', 'bapak', 'lho', 'gimana', 'sih', 'tata', 'krama', 'tidak', 'ada', 'terminal', 'congcat']","['ramah', 'nanya', 'dicuekin', 'berlagak', 'penumpang', 'nanya', 'sibuk', 'gimana', 'tata', 'krama', 'terminal', 'congcat']","['ramah', 'nanya', 'dicuekin', 'lagak', 'tumpang', 'nanya', 'sibuk', 'gimana', 'tata', 'krama', 'terminal', 'congcat']",ramah nanya dicuekin lagak tumpang nanya sibuk gimana tata krama terminal congcat
aplikasi yang sangat membantu buat tracking posisi bus transjogja jadi tidak bakal telat,5,8,2.1.7,2023-10-07 04:24:25,,,"['aplikasi', 'yang', 'sangat', 'membantu', 'buat', 'tracking', 'posisi', 'bus', 'transjogja', 'jadi', 'tidak', 'bakal', 'telat']","['aplikasi', 'membantu', 'tracking', 'posisi', 'bus', 'transjogja', 'telat']","['aplikasi', 'bantu', 'tracking', 'posisi', 'bus', 'transjogja', 'telat']",aplikasi bantu tracking posisi bus transjogja telat
menunggu b lama banget masa dari jam sampai,4,0,2.1.6,2023-09-28 10:26:29,,,"['menunggu', 'b', 'lama', 'banget', 'masa', 'dari', 'jam', 'sampai']","['menunggu', 'b', 'banget', 'jam']","['tunggu', 'b', 'banget', 'jam']",tunggu b banget jam
armada jogjja murah dan praktis,5,0,2.1.6,2023-09-25 10:01:07,,,"['armada', 'jogjja', 'murah', 'dan', 'praktis']","['armada', 'jogjja', 'murah', 'praktis']","['armada', 'jogjja', 'murah', 'praktis']",armada jogjja murah praktis
it ne gobl k goblok sakpole,1,0,2.1.4,2023-09-20 05:30:14,,,"['it', 'ne', 'gobl', 'k', 'goblok', 'sakpole']","['it', 'ne', 'gobl', 'k', 'goblok', 'sakpole']","['it', 'ne', 'gobl', 'k', 'goblok', 'sakpole']",it ne gobl k goblok sakpole
penempatan nama sangat buruk tidak dapat muncul nama tempat meski yang dicari dengan keyword alamat ternama dan fitur lainnya,1,1,2.1.4,2023-09-16 10:03:01,,,"['penempatan', 'nama', 'sangat', 'buruk', 'tidak', 'dapat', 'muncul', 'nama', 'tempat', 'meski', 'yang', 'dicari', 'dengan', 'keyword', 'alamat', 'ternama', 'dan', 'fitur', 'lainnya']","['penempatan', 'nama', 'buruk', 'muncul', 'nama', 'dicari', 'keyword', 'alamat', 'ternama', 'fitur']","['tempat', 'nama', 'buruk', 'muncul', 'nama', 'cari', 'keyword', 'alamat', 'nama', 'fitur']",tempat nama buruk muncul nama cari keyword alamat nama fitur
saya agak kecewa sih karna saya melihat seorang kakek yang ingin naik lalu di hadang oleh petugas jujur saran saya mending kalau ada lansia ibu hamil dan yang mempunyai keterbatasan mending di utamakan atau di suruh masuk lebih dulu saya kasihan melihat kejadian tersebut,2,1,2.1.4,2023-09-13 07:49:13,,,"['saya', 'agak', 'kecewa', 'sih', 'karna', 'saya', 'melihat', 'seorang', 'kakek', 'yang', 'ingin', 'naik', 'lalu', 'di', 'hadang', 'oleh', 'petugas', 'jujur', 'saran', 'saya', 'mending', 'kalau', 'ada', 'lansia', 'ibu', 'hamil', 'dan', 'yang', 'mempunyai', 'keterbatasan', 'mending', 'di', 'utamakan', 'atau', 'di', 'suruh', 'masuk', 'lebih', 'dulu', 'saya', 'kasihan', 'melihat', 'kejadian', 'tersebut']","['kecewa', 'karna', 'kakek', 'hadang', 'petugas', 'jujur', 'saran', 'mending', 'lansia', 'hamil', 'keterbatasan', 'mending', 'utamakan', 'suruh', 'masuk', 'kasihan', 'kejadian']","['kecewa', 'karna', 'kakek', 'hadang', 'tugas', 'jujur', 'saran', 'mending', 'lansia', 'hamil', 'batas', 'mending', 'utama', 'suruh', 'masuk', 'kasihan', 'jadi']",kecewa karna kakek hadang tugas jujur saran mending lansia hamil batas mending utama suruh masuk kasihan jadi
aplikasi bus transjogja transjogja sangat bagus dan bermanfaat sekali bagi masyarakat dan para pengguna bus transjogja transjogja untuk perjalanan dalam kota transjogja yang murah dan nyaman,5,0,2.1.4,2023-09-10 11:00:00,,,"['aplikasi', 'bus', 'transjogja', 'transjogja', 'sangat', 'bagus', 'dan', 'bermanfaat', 'sekali', 'bagi', 'masyarakat', 'dan', 'para', 'pengguna', 'bus', 'transjogja', 'transjogja', 'untuk', 'perjalanan', 'dalam', 'kota', 'transjogja', 'yang', 'murah', 'dan', 'nyaman']","['aplikasi', 'bus', 'transjogja', 'transjogja', 'bagus', 'bermanfaat', 'masyarakat', 'pengguna', 'bus', 'transjogja', 'transjogja', 'perjalanan', 'kota', 'transjogja', 'murah', 'nyaman']","['aplikasi', 'bus', 'transjogja', 'transjogja', 'bagus', 'manfaat', 'masyarakat', 'guna', 'bus', 'transjogja', 'transjogja', 'jalan', 'kota', 'transjogja', 'murah', 'nyaman']",aplikasi bus transjogja transjogja bagus manfaat masyarakat guna bus transjogja transjogja jalan kota transjogja murah nyaman
apa sekarang tiap sore sekitar jam bus b arah kota dialihkan tidak lewat babarsari lagi apa tidak kasihan yang sudah jam an menunggu bus kalau ternyata dialihkan spt ini,3,0,2.1.4,2023-08-29 09:24:53,,,"['apa', 'sekarang', 'tiap', 'sore', 'sekitar', 'jam', 'bus', 'b', 'arah', 'kota', 'dialihkan', 'tidak', 'lewat', 'babarsari', 'lagi', 'apa', 'tidak', 'kasihan', 'yang', 'sudah', 'jam', 'an', 'menunggu', 'bus', 'kalau', 'ternyata', 'dialihkan', 'spt', 'ini']","['sore', 'jam', 'bus', 'b', 'arah', 'kota', 'dialihkan', 'babarsari', 'kasihan', 'jam', 'an', 'menunggu', 'bus', 'dialihkan', 'spt']","['sore', 'jam', 'bus', 'b', 'arah', 'kota', 'alih', 'babarsari', 'kasihan', 'jam', 'an', 'tunggu', 'bus', 'alih', 'spt']",sore jam bus b arah kota alih babarsari kasihan jam an tunggu bus alih spt
ngebantu banget rute dan waktunya akurat,5,0,,2023-08-28 07:59:59,,,"['ngebantu', 'banget', 'rute', 'dan', 'waktunya', 'akurat']","['ngebantu', 'banget', 'rute', 'akurat']","['ngebantu', 'banget', 'rute', 'akurat']",ngebantu banget rute akurat
pelayanan bagus mengusahakan penguna transjogja transjogja jadi puas,5,0,2.1.4,2023-07-30 05:37:42,,,"['pelayanan', 'bagus', 'mengusahakan', 'penguna', 'transjogja', 'transjogja', 'jadi', 'puas']","['pelayanan', 'bagus', 'mengusahakan', 'penguna', 'transjogja', 'transjogja', 'puas']","['layan', 'bagus', 'usaha', 'penguna', 'transjogja', 'transjogja', 'puas']",layan bagus usaha penguna transjogja transjogja puas
sangat berguna,5,0,,2023-07-29 08:18:01,,,"['sangat', 'berguna']",['berguna'],['guna'],guna
sangat membantu terimakasih,5,1,2.1.4,2023-07-26 04:10:15,,,"['sangat', 'membantu', 'terimakasih']","['membantu', 'terimakasih']","['bantu', 'terimakasih']",bantu terimakasih
sangat membantu untuk tahu lokasi bus,5,0,2.1.4,2023-07-24 12:59:00,,,"['sangat', 'membantu', 'untuk', 'tahu', 'lokasi', 'bus']","['membantu', 'lokasi', 'bus']","['bantu', 'lokasi', 'bus']",bantu lokasi bus
aplikasi bagus sangat akurat dengan lokasi bus,5,0,2.1.4,2023-07-12 05:55:44,,,"['aplikasi', 'bagus', 'sangat', 'akurat', 'dengan', 'lokasi', 'bus']","['aplikasi', 'bagus', 'akurat', 'lokasi', 'bus']","['aplikasi', 'bagus', 'akurat', 'lokasi', 'bus']",aplikasi bagus akurat lokasi bus
biasanya naik teman bus kartu untuk orang boleh sekarang kok tidak boleh kartu orang,1,0,2.1.4,2023-07-01 07:07:29,,,"['biasanya', 'naik', 'teman', 'bus', 'kartu', 'untuk', 'orang', 'boleh', 'sekarang', 'kok', 'tidak', 'boleh', 'kartu', 'orang']","['teman', 'bus', 'kartu', 'orang', 'kartu', 'orang']","['teman', 'bus', 'kartu', 'orang', 'kartu', 'orang']",teman bus kartu orang kartu orang
aplikasi kelihatan memudahkan tapi kalau lokasi dibalik dari lokasi ke tempat tujuan tidak muncul sama sekali malah menyulitkan,2,1,,2023-06-22 09:02:54,,,"['aplikasi', 'kelihatan', 'memudahkan', 'tapi', 'kalau', 'lokasi', 'dibalik', 'dari', 'lokasi', 'ke', 'tempat', 'tujuan', 'tidak', 'muncul', 'sama', 'sekali', 'malah', 'menyulitkan']","['aplikasi', 'memudahkan', 'lokasi', 'dibalik', 'lokasi', 'tujuan', 'muncul', 'menyulitkan']","['aplikasi', 'mudah', 'lokasi', 'balik', 'lokasi', 'tuju', 'muncul', 'sulit']",aplikasi mudah lokasi balik lokasi tuju muncul sulit
sangat membantu,5,0,2.1.4,2023-06-19 23:55:46,,,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
menurut saya sudah bagus tapi mohon di perbaiki lagi karena ada dua jalur yaitu a dan a tidak masuk aplikasi mohon dua jalur itu di masukan ke dalam aplikasi,3,0,2.1.4,2023-05-29 11:11:53,,,"['menurut', 'saya', 'sudah', 'bagus', 'tapi', 'mohon', 'di', 'perbaiki', 'lagi', 'karena', 'ada', 'dua', 'jalur', 'yaitu', 'a', 'dan', 'a', 'tidak', 'masuk', 'aplikasi', 'mohon', 'dua', 'jalur', 'itu', 'di', 'masukan', 'ke', 'dalam', 'aplikasi']","['bagus', 'mohon', 'perbaiki', 'jalur', 'a', 'a', 'masuk', 'aplikasi', 'mohon', 'jalur', 'masukan', 'aplikasi']","['bagus', 'mohon', 'baik', 'jalur', 'a', 'a', 'masuk', 'aplikasi', 'mohon', 'jalur', 'masuk', 'aplikasi']",bagus mohon baik jalur a a masuk aplikasi mohon jalur masuk aplikasi
tidak suka metoda pembayaran hanya pakai satu saja astrapay semoga ditambah yang lain yang banyak digunakan orang orang,3,0,2.1.4,2023-05-14 04:42:14,,,"['tidak', 'suka', 'metoda', 'pembayaran', 'hanya', 'pakai', 'satu', 'saja', 'astrapay', 'semoga', 'ditambah', 'yang', 'lain', 'yang', 'banyak', 'digunakan', 'orang', 'orang']","['suka', 'metoda', 'pembayaran', 'pakai', 'astrapay', 'semoga', 'ditambah', 'orang', 'orang']","['suka', 'metoda', 'bayar', 'pakai', 'astrapay', 'moga', 'tambah', 'orang', 'orang']",suka metoda bayar pakai astrapay moga tambah orang orang
bagus buat lihat jadwal transjogja pas pulang sekolah,4,0,2.1.4,2023-05-12 09:50:33,,,"['bagus', 'buat', 'lihat', 'jadwal', 'transjogja', 'pas', 'pulang', 'sekolah']","['bagus', 'lihat', 'jadwal', 'transjogja', 'pas', 'pulang', 'sekolah']","['bagus', 'lihat', 'jadwal', 'transjogja', 'pas', 'pulang', 'sekolah']",bagus lihat jadwal transjogja pas pulang sekolah
secara fungsi sangat bagus membantu sekali karena bisa track semua bus sayangnya seringkali gps tidak update dan rute yang disediakan malah mutar mutar,4,5,2.1.4,2023-05-10 12:20:57,,,"['secara', 'fungsi', 'sangat', 'bagus', 'membantu', 'sekali', 'karena', 'bisa', 'track', 'semua', 'bus', 'sayangnya', 'seringkali', 'gps', 'tidak', 'update', 'dan', 'rute', 'yang', 'disediakan', 'malah', 'mutar', 'mutar']","['fungsi', 'bagus', 'membantu', 'track', 'bus', 'sayangnya', 'seringkali', 'gps', 'update', 'rute', 'disediakan', 'mutar', 'mutar']","['fungsi', 'bagus', 'bantu', 'track', 'bus', 'sayang', 'seringkali', 'gps', 'update', 'rute', 'sedia', 'mutar', 'mutar']",fungsi bagus bantu track bus sayang seringkali gps update rute sedia mutar mutar
transjogja transjogja sopire le nyetir podo ugal ugalan nyebai,1,0,2.1.4,2023-05-01 15:53:08,,,"['transjogja', 'transjogja', 'sopire', 'le', 'nyetir', 'podo', 'ugal', 'ugalan', 'nyebai']","['transjogja', 'transjogja', 'sopire', 'le', 'nyetir', 'podo', 'ugal', 'ugalan', 'nyebai']","['transjogja', 'transjogja', 'sopire', 'le', 'nyetir', 'podo', 'ugal', 'ugalan', 'nyebai']",transjogja transjogja sopire le nyetir podo ugal ugalan nyebai
bagus memudahkan kita tahu di mana posisi bus secara real time minusnya di panduan rute saja yang malah jadi muter jadi masih lebih baik kita hapalin sendiri rutenya,4,0,2.1.3,2023-04-25 15:59:55,,,"['bagus', 'memudahkan', 'kita', 'tahu', 'di', 'mana', 'posisi', 'bus', 'secara', 'real', 'time', 'minusnya', 'di', 'panduan', 'rute', 'saja', 'yang', 'malah', 'jadi', 'muter', 'jadi', 'masih', 'lebih', 'baik', 'kita', 'hapalin', 'sendiri', 'rutenya']","['bagus', 'memudahkan', 'posisi', 'bus', 'real', 'time', 'minusnya', 'panduan', 'rute', 'muter', 'baik', 'hapalin', 'rutenya']","['bagus', 'mudah', 'posisi', 'bus', 'real', 'time', 'minus', 'pandu', 'rute', 'muter', 'baik', 'hapalin', 'rute']",bagus mudah posisi bus real time minus pandu rute muter baik hapalin rute
baik,5,0,2.1.4,2023-04-18 07:43:18,,,['baik'],['baik'],['baik'],baik
sangat membantu sekali saat mau berangkat kesekolah jadi bisa lihat bus sudah dijalan,5,0,2.1.4,2023-04-12 15:27:15,,,"['sangat', 'membantu', 'sekali', 'saat', 'mau', 'berangkat', 'kesekolah', 'jadi', 'bisa', 'lihat', 'bus', 'sudah', 'dijalan']","['membantu', 'berangkat', 'kesekolah', 'lihat', 'bus', 'dijalan']","['bantu', 'berangkat', 'seko', 'lihat', 'bus', 'jalan']",bantu berangkat seko lihat bus jalan
aplikasi nya bagus semoga ditambah fitur cek saldo kartu transjogja transjogja pelajar dan regular,5,0,2.1.4,2023-04-05 14:01:03,,,"['aplikasi', 'nya', 'bagus', 'semoga', 'ditambah', 'fitur', 'cek', 'saldo', 'kartu', 'transjogja', 'transjogja', 'pelajar', 'dan', 'regular']","['aplikasi', 'bagus', 'semoga', 'ditambah', 'fitur', 'cek', 'saldo', 'kartu', 'transjogja', 'transjogja', 'pelajar', 'regular']","['aplikasi', 'bagus', 'moga', 'tambah', 'fitur', 'cek', 'saldo', 'kartu', 'transjogja', 'transjogja', 'ajar', 'regular']",aplikasi bagus moga tambah fitur cek saldo kartu transjogja transjogja ajar regular
banyak bus yang tidak sesuai dg diaplikasi contohnya diaplikasi jalur ternyata malah ke jalur b,3,1,2.1.4,2023-03-31 09:10:19,,,"['banyak', 'bus', 'yang', 'tidak', 'sesuai', 'dg', 'diaplikasi', 'contohnya', 'diaplikasi', 'jalur', 'ternyata', 'malah', 'ke', 'jalur', 'b']","['bus', 'sesuai', 'dg', 'diaplikasi', 'contohnya', 'diaplikasi', 'jalur', 'jalur', 'b']","['bus', 'sesuai', 'dg', 'aplikasi', 'contoh', 'aplikasi', 'jalur', 'jalur', 'b']",bus sesuai dg aplikasi contoh aplikasi jalur jalur b
membantu,5,0,,2023-03-27 09:08:50,,,['membantu'],['membantu'],['bantu'],bantu
bagi saya yang belum pernah naik transjogja sempet seneng ternyata ada aplikasi ini tapi fitur yang paling penting dan krusial di aplikasi ini yaitu info rute berdasarkan input lokasi justru masih sangat buruk karena bisa menyesatkan bagi penumpang awam sebagai contoh saya pernah mencobanya dan ternyata haltenya yang dilewati rute adl halte yang berlawanan arah sehingga otomatis salah jalur dan terlanjur kebablasan dan menyimpang dari tujuan sebenarnya dan juga tidak semua bus muncul diapk,3,8,2.1.4,2023-03-21 16:36:32,,,"['bagi', 'saya', 'yang', 'belum', 'pernah', 'naik', 'transjogja', 'sempet', 'seneng', 'ternyata', 'ada', 'aplikasi', 'ini', 'tapi', 'fitur', 'yang', 'paling', 'penting', 'dan', 'krusial', 'di', 'aplikasi', 'ini', 'yaitu', 'info', 'rute', 'berdasarkan', 'input', 'lokasi', 'justru', 'masih', 'sangat', 'buruk', 'karena', 'bisa', 'menyesatkan', 'bagi', 'penumpang', 'awam', 'sebagai', 'contoh', 'saya', 'pernah', 'mencobanya', 'dan', 'ternyata', 'haltenya', 'yang', 'dilewati', 'rute', 'adl', 'halte', 'yang', 'berlawanan', 'arah', 'sehingga', 'otomatis', 'salah', 'jalur', 'dan', 'terlanjur', 'kebablasan', 'dan', 'menyimpang', 'dari', 'tujuan', 'sebenarnya', 'dan', 'juga', 'tidak', 'semua', 'bus', 'muncul', 'diapk']","['transjogja', 'sempet', 'seneng', 'aplikasi', 'fitur', 'krusial', 'aplikasi', 'info', 'rute', 'berdasarkan', 'input', 'lokasi', 'buruk', 'menyesatkan', 'penumpang', 'awam', 'contoh', 'mencobanya', 'haltenya', 'dilewati', 'rute', 'adl', 'halte', 'berlawanan', 'arah', 'otomatis', 'salah', 'jalur', 'terlanjur', 'kebablasan', 'menyimpang', 'tujuan', 'bus', 'muncul', 'diapk']","['transjogja', 'sempet', 'neng', 'aplikasi', 'fitur', 'krusial', 'aplikasi', 'info', 'rute', 'dasar', 'input', 'lokasi', 'buruk', 'sesat', 'tumpang', 'awam', 'contoh', 'coba', 'halte', 'lewat', 'rute', 'adl', 'halte', 'lawan', 'arah', 'otomatis', 'salah', 'jalur', 'lanjur', 'bablas', 'simpang', 'tuju', 'bus', 'muncul', 'diapk']",transjogja sempet neng aplikasi fitur krusial aplikasi info rute dasar input lokasi buruk sesat tumpang awam contoh coba halte lewat rute adl halte lawan arah otomatis salah jalur lanjur bablas simpang tuju bus muncul diapk
beberapa fungsi ada tapi tidak bisa digunakan,1,0,2.1.4,2023-03-20 00:54:57,,,"['beberapa', 'fungsi', 'ada', 'tapi', 'tidak', 'bisa', 'digunakan']",['fungsi'],['fungsi'],fungsi
oke lah,5,0,,2023-03-07 13:10:11,,,"['oke', 'lah']",['oke'],['oke'],oke
aplikasi yang sangat membantu ketika ingin melihat waktu jalur bus datang,4,0,2.1.4,2023-03-06 02:15:52,,,"['aplikasi', 'yang', 'sangat', 'membantu', 'ketika', 'ingin', 'melihat', 'waktu', 'jalur', 'bus', 'datang']","['aplikasi', 'membantu', 'jalur', 'bus']","['aplikasi', 'bantu', 'jalur', 'bus']",aplikasi bantu jalur bus
akhirnya ada aplikasi ini cuma yang disayangkan beberapa kali penjaga haltenya tidak menginfokan secara jelas bahkan beberapa kali diberi info salah soal rute operasional bus dl minta tolong diperbaiki ya saya kali salah naik bus gara diinfo salah dari penjaga haltenya kali harus mengganti jalur karena diinfo bus tidak jalan pdhl jalan terimakasih,4,6,2.1.4,2023-02-18 10:46:47,,,"['akhirnya', 'ada', 'aplikasi', 'ini', 'cuma', 'yang', 'disayangkan', 'beberapa', 'kali', 'penjaga', 'haltenya', 'tidak', 'menginfokan', 'secara', 'jelas', 'bahkan', 'beberapa', 'kali', 'diberi', 'info', 'salah', 'soal', 'rute', 'operasional', 'bus', 'dl', 'minta', 'tolong', 'diperbaiki', 'ya', 'saya', 'kali', 'salah', 'naik', 'bus', 'gara', 'diinfo', 'salah', 'dari', 'penjaga', 'haltenya', 'kali', 'harus', 'mengganti', 'jalur', 'karena', 'diinfo', 'bus', 'tidak', 'jalan', 'pdhl', 'jalan', 'terimakasih']","['aplikasi', 'disayangkan', 'kali', 'penjaga', 'haltenya', 'menginfokan', 'kali', 'info', 'salah', 'rute', 'operasional', 'bus', 'dl', 'tolong', 'diperbaiki', 'kali', 'salah', 'bus', 'gara', 'diinfo', 'salah', 'penjaga', 'haltenya', 'kali', 'mengganti', 'jalur', 'diinfo', 'bus', 'jalan', 'pdhl', 'jalan', 'terimakasih']","['aplikasi', 'sayang', 'kali', 'jaga', 'halte', 'info', 'kali', 'info', 'salah', 'rute', 'operasional', 'bus', 'dl', 'tolong', 'baik', 'kali', 'salah', 'bus', 'gara', 'info', 'salah', 'jaga', 'halte', 'kali', 'ganti', 'jalur', 'info', 'bus', 'jalan', 'pdhl', 'jalan', 'terimakasih']",aplikasi sayang kali jaga halte info kali info salah rute operasional bus dl tolong baik kali salah bus gara info salah jaga halte kali ganti jalur info bus jalan pdhl jalan terimakasih
transjogja asu asal mlaku ra ndelok uwong wes reti neng portable asu asu,1,0,,2023-02-16 01:47:28,,,"['transjogja', 'asu', 'asal', 'mlaku', 'ra', 'ndelok', 'uwong', 'wes', 'reti', 'neng', 'portable', 'asu', 'asu']","['transjogja', 'asu', 'mlaku', 'ra', 'ndelok', 'uwong', 'wes', 'reti', 'neng', 'portable', 'asu', 'asu']","['transjogja', 'asu', 'mlaku', 'ra', 'ndelok', 'uwong', 'wes', 'ret', 'neng', 'portable', 'asu', 'asu']",transjogja asu mlaku ra ndelok uwong wes ret neng portable asu asu
titik titik pemberhentian masih ada yang belum ada portablenya,5,0,,2023-02-13 13:26:17,,,"['titik', 'titik', 'pemberhentian', 'masih', 'ada', 'yang', 'belum', 'ada', 'portablenya']","['titik', 'titik', 'pemberhentian', 'portablenya']","['titik', 'titik', 'henti', 'portablenya']",titik titik henti portablenya
jalur a a tidak terdeteksi gps tidak muncul di map,3,0,2.1.3,2023-02-01 00:31:12,,,"['jalur', 'a', 'a', 'tidak', 'terdeteksi', 'gps', 'tidak', 'muncul', 'di', 'map']","['jalur', 'a', 'a', 'terdeteksi', 'gps', 'muncul', 'map']","['jalur', 'a', 'a', 'deteksi', 'gps', 'muncul', 'map']",jalur a a deteksi gps muncul map
untuk update berikutnya ditambah fitur check saldo top up kartu berlangganan reguler dan pelajar tanpa harus ke halte bagi yang ponselnya memiliki fitur nfc,5,0,,2023-01-24 12:30:03,,,"['untuk', 'update', 'berikutnya', 'ditambah', 'fitur', 'check', 'saldo', 'top', 'up', 'kartu', 'berlangganan', 'reguler', 'dan', 'pelajar', 'tanpa', 'harus', 'ke', 'halte', 'bagi', 'yang', 'ponselnya', 'memiliki', 'fitur', 'nfc']","['update', 'ditambah', 'fitur', 'check', 'saldo', 'top', 'up', 'kartu', 'berlangganan', 'reguler', 'pelajar', 'halte', 'ponselnya', 'memiliki', 'fitur', 'nfc']","['update', 'tambah', 'fitur', 'check', 'saldo', 'top', 'up', 'kartu', 'langgan', 'reguler', 'ajar', 'halte', 'ponselnya', 'milik', 'fitur', 'nfc']",update tambah fitur check saldo top up kartu langgan reguler ajar halte ponselnya milik fitur nfc
versi sekarang lebih baik,5,0,2.1.3,2023-01-24 09:30:43,,,"['versi', 'sekarang', 'lebih', 'baik']","['versi', 'baik']","['versi', 'baik']",versi baik
mohon petugas halte lebih akses terhadap difabel terutama halte terminal condong catur,5,0,,2023-01-17 01:17:35,,,"['mohon', 'petugas', 'halte', 'lebih', 'akses', 'terhadap', 'difabel', 'terutama', 'halte', 'terminal', 'condong', 'catur']","['mohon', 'petugas', 'halte', 'akses', 'difabel', 'halte', 'terminal', 'condong', 'catur']","['mohon', 'tugas', 'halte', 'akses', 'difabel', 'halte', 'terminal', 'condong', 'catur']",mohon tugas halte akses difabel halte terminal condong catur
jalur a tidak ada d aplikasi huffft,4,0,2.1.3,2023-01-11 23:51:16,,,"['jalur', 'a', 'tidak', 'ada', 'd', 'aplikasi', 'huffft']","['jalur', 'a', 'd', 'aplikasi', 'huffft']","['jalur', 'a', 'd', 'aplikasi', 'huffft']",jalur a d aplikasi huffft
susah d buka,5,0,,2022-12-26 00:14:47,"Hi kak, bisa Infoman detail kendalanya, Thanks",2022-04-22 06:38:39,"['susah', 'd', 'buka']","['susah', 'd', 'buka']","['susah', 'd', 'buka']",susah d buka
great aplikasi,5,0,2.1.3,2022-12-20 02:53:51,,,"['great', 'aplikasi']","['great', 'aplikasi']","['great', 'aplikasi']",great aplikasi
aplikasi sangat membantu dan bisa pesen tiket secara online,5,0,2.1.3,2022-12-19 08:52:01,,,"['aplikasi', 'sangat', 'membantu', 'dan', 'bisa', 'pesen', 'tiket', 'secara', 'online']","['aplikasi', 'membantu', 'pesen', 'tiket', 'online']","['aplikasi', 'bantu', 'sen', 'tiket', 'online']",aplikasi bantu sen tiket online
semoga armada diperbanyak rute feeder diadakan saya akan terus mensupprt transportasi umum di transjogja,5,0,2.1.3,2022-12-17 18:09:05,,,"['semoga', 'armada', 'diperbanyak', 'rute', 'feeder', 'diadakan', 'saya', 'akan', 'terus', 'mensupprt', 'transportasi', 'umum', 'di', 'transjogja']","['semoga', 'armada', 'diperbanyak', 'rute', 'feeder', 'diadakan', 'mensupprt', 'transportasi', 'transjogja']","['moga', 'armada', 'banyak', 'rute', 'feeder', 'ada', 'mensupprt', 'transportasi', 'transjogja']",moga armada banyak rute feeder ada mensupprt transportasi transjogja
error dengan bentuk bus yang tidak berjalan di suatu rute tertentu sudah terjadi beberapa kali,1,5,2.1.3,2022-12-14 05:46:14,,,"['error', 'dengan', 'bentuk', 'bus', 'yang', 'tidak', 'berjalan', 'di', 'suatu', 'rute', 'tertentu', 'sudah', 'terjadi', 'beberapa', 'kali']","['error', 'bentuk', 'bus', 'berjalan', 'rute', 'kali']","['error', 'bentuk', 'bus', 'jalan', 'rute', 'kali']",error bentuk bus jalan rute kali
